section_code,section_number,title,description,category,punishment,source
BNSS-161,161,Injunction pending inquiry,Section 161: Injunction pending inquiry,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=161&orderno=
EVIDENCE-161,161,What matters may be proved in connection with proved statement relevant under section 26 or 27,Section 161: What matters may be proved in connection with proved statement relevant under section 26 or 27,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=161&orderno=
BNS-162,162,"Abetment of such assault, if assault committed","Section 162: Abetment of such assault, if assault committed",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=162&orderno=
BNSS-162,162,Magistrate may prohibit repetition or Continuance of public nuisance,Section 162: Magistrate may prohibit repetition or Continuance of public nuisance,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=162&orderno=
EVIDENCE-162,162,Refreshing memory,Section 162: Refreshing memory,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=162&orderno=
BNS-163,163,"Abetment of desertion of soldier, sailor or airman","Section 163: Abetment of desertion of soldier, sailor or airman",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=163&orderno=
BNSS-163,163,Power to issue order in urgent cases of nuisance or apprehended danger,Section 163: Power to issue order in urgent cases of nuisance or apprehended danger,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=163&orderno=
EVIDENCE-163,163,Testimony to facts stated in document mentioned in section 162,Section 163: Testimony to facts stated in document mentioned in section 162,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=163&orderno=
BNS-164,164,Harbouring deserter,Section 164: Harbouring deserter,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=164&orderno=
BNSS-164,164,Procedure where dispute concerning land or water is likely to cause breach of peace,Section 164: Procedure where dispute concerning land or water is likely to cause breach of peace,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=164&orderno=
EVIDENCE-164,164,Right of adverse party as to writing used to refresh memory,Section 164: Right of adverse party as to writing used to refresh memory,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=164&orderno=
BNS-165,165,Deserter concealed on board merchant vessel through negligence of master,Section 165: Deserter concealed on board merchant vessel through negligence of master,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=165&orderno=
BNSS-165,165,Power to attach subject of dispute and to appoint receiver,Section 165: Power to attach subject of dispute and to appoint receiver,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=165&orderno=
EVIDENCE-165,165,Production of documents,Section 165: Production of documents,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=165&orderno=
BNS-166,166,"Abetment of act of insubordination by soldier, sailor or airman","Section 166: Abetment of act of insubordination by soldier, sailor or airman",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=166&orderno=
BNSS-166,166,Dispute concerning right of use of land or water,Section 166: Dispute concerning right of use of land or water,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=166&orderno=
EVIDENCE-166,166,"Giving, as evidence, of document called for and produced on notice","Section 166: Giving, as evidence, of document called for and produced on notice",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=166&orderno=
BNS-167,167,Persons subject to certain Acts,Section 167: Persons subject to certain Acts,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=167&orderno=
BNSS-167,167,Local inquiry,Section 167: Local inquiry,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=167&orderno=
EVIDENCE-167,167,"Using, as evidence, of document production of which was refused on notice","Section 167: Using, as evidence, of document production of which was refused on notice",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=167&orderno=
BNS-168,168,"Wearing garb or carrying token used by soldier, sailor or airman","Section 168: Wearing garb or carrying token used by soldier, sailor or airman",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=168&orderno=
BNSS-168,168,Police to prevent cognizable offences,Section 168: Police to prevent cognizable offences,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=168&orderno=
EVIDENCE-168,168,Judge's power to put questions or order production,Section 168: Judge's power to put questions or order production,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=168&orderno=
BNS-169,169,"Candidate, electoral right defined","Section 169: Candidate, electoral right defined",Of Offences Against Public Tranquillity,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=169&orderno=
BNSS-169,169,Information of design to commit cognizable offences,Section 169: Information of design to commit cognizable offences,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=169&orderno=
EVIDENCE-169,169,No new trial for improper admission or rejection of evidence,Section 169: No new trial for improper admission or rejection of evidence,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=169&orderno=
BNS-17,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law","Section 17: Act done by a person justified, or by mistake of fact believing himself justified, by law",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=17&orderno=
BNSS-17,17,Subordination of Executive Magistrates,Section 17: Subordination of Executive Magistrates,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=17&orderno=
EVIDENCE-17,17,Admissions by persons whose position must be proved as against party to suit,Section 17: Admissions by persons whose position must be proved as against party to suit,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=17&orderno=
BNS-170,170,Bribery,Section 170: Bribery,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=170&orderno=
BNSS-170,170,Arrest to prevent commission of cognizable offences,Section 170: Arrest to prevent commission of cognizable offences,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=170&orderno=
EVIDENCE-170,170,Repeal and savings,Section 170: Repeal and savings,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=170&orderno=
BNS-171,171,Undue influence at elections,Section 171: Undue influence at elections,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=171&orderno=
BNSS-171,171,Prevention of injury to public property,Section 171: Prevention of injury to public property,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=171&orderno=
BNS-172,172,Personation at elections,Section 172: Personation at elections,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=172&orderno=
BNSS-172,172,Persons bound to conform to lawful directions of police,Section 172: Persons bound to conform to lawful directions of police,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=172&orderno=
BNS-173,173,Punishment for bribery,Section 173: Punishment for bribery,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=173&orderno=
BNSS-173,173,Information in cognizable cases,Section 173: Information in cognizable cases,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=173&orderno=
BNS-174,174,Punishment for undue influence or personation at an election,Section 174: Punishment for undue influence or personation at an election,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=174&orderno=
BNSS-174,174,Information as to non-cognizable cases and investigation of such cases,Section 174: Information as to non-cognizable cases and investigation of such cases,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=174&orderno=
BNS-175,175,False statement in connection with an election,Section 175: False statement in connection with an election,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=175&orderno=
BNSS-175,175,Police officer’s power to investigate cognizable case,Section 175: Police officer’s power to investigate cognizable case,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=175&orderno=
BNS-176,176,Illegal payments in connection with an election,Section 176: Illegal payments in connection with an election,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=176&orderno=
BNSS-176,176,Procedure for investigation,Section 176: Procedure for investigation,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=176&orderno=
BNS-177,177,Failure to keep election accounts,Section 177: Failure to keep election accounts,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=177&orderno=
BNSS-177,177,Report how submitted,Section 177: Report how submitted,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=177&orderno=
BNS-178,178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes","Section 178: Counterfeiting coin, Government stamps, currency-notes or bank-notes",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=178&orderno=
BNSS-178,178,Power to hold investigation or preliminary inquiry,Section 178: Power to hold investigation or preliminary inquiry,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=178&orderno=
BNS-179,179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","Section 179: Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=179&orderno=
BNSS-179,179,Police officer's power to require attendance of witnesses,Section 179: Police officer's power to require attendance of witnesses,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=179&orderno=
BNS-18,18,Accident in doing a lawful act,Section 18: Accident in doing a lawful act,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=18&orderno=
BNSS-18,18,Public Prosecutors,Section 18: Public Prosecutors,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=18&orderno=
EVIDENCE-18,18,Admissions by persons expressly referred to by party to suit,Section 18: Admissions by persons expressly referred to by party to suit,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=18&orderno=
BNS-180,180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes","Section 180: Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=180&orderno=
BNSS-180,180,Examination of witnesses by police,Section 180: Examination of witnesses by police,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=180&orderno=
BNS-181,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes","Section 181: Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=181&orderno=
BNSS-181,181,Statements to police and use thereof,Section 181: Statements to police and use thereof,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=181&orderno=
BNS-182,182,Making or using documents resembling currency-notes or bank-notes,Section 182: Making or using documents resembling currency-notes or bank-notes,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=182&orderno=
BNSS-182,182,No inducement to be offered,Section 182: No inducement to be offered,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=182&orderno=
BNS-183,183,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government","Section 183: Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=183&orderno=
BNSS-183,183,Recording of confessions and statements,Section 183: Recording of confessions and statements,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=183&orderno=
BNS-184,184,Using Government stamp known to have been before used,Section 184: Using Government stamp known to have been before used,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=184&orderno=
BNSS-184,184,Medical examination of victim of rape,Section 184: Medical examination of victim of rape,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=184&orderno=
BNS-185,185,Erasure of mark denoting that stamp has been used,Section 185: Erasure of mark denoting that stamp has been used,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=185&orderno=
BNSS-185,185,Search by police officer,Section 185: Search by police officer,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=185&orderno=
BNS-186,186,Prohibition of fictitious stamps,Section 186: Prohibition of fictitious stamps,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=186&orderno=
BNSS-186,186,When officer in charge of police station may require another to issue search-warrant,Section 186: When officer in charge of police station may require another to issue search-warrant,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=186&orderno=
BNS-187,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law,Section 187: Person employed in mint causing coin to be of different weight or composition from that fixed by law,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=187&orderno=
BNSS-187,187,Procedure when investigation cannot be completed in twenty-four hours,Section 187: Procedure when investigation cannot be completed in twenty-four hours,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=187&orderno=
BNS-188,188,Unlawfully taking coining instrument from mint,Section 188: Unlawfully taking coining instrument from mint,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=188&orderno=
BNSS-188,188,Report of investigation by subordinate police officer,Section 188: Report of investigation by subordinate police officer,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=188&orderno=
BNS-189,189,Unlawful assembly,Section 189: Unlawful assembly,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=189&orderno=
BNSS-189,189,Release of accused when evidence deficient,Section 189: Release of accused when evidence deficient,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=189&orderno=
BNS-19,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm","Section 19: Act likely to cause harm, but done without criminal intent, and to prevent other harm",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=19&orderno=
BNSS-19,19,Assistant Public Prosecutors,Section 19: Assistant Public Prosecutors,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=19&orderno=
EVIDENCE-19,19,"Proof of admissions against persons making them, and by or on their behalf","Section 19: Proof of admissions against persons making them, and by or on their behalf",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=19&orderno=
BNS-190,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object,Section 190: Every member of unlawful assembly guilty of offence committed in prosecution of common object,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=190&orderno=
BNSS-190,190,"Cases to be sent to Magistrate, when evidence is sufficient","Section 190: Cases to be sent to Magistrate, when evidence is sufficient",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=190&orderno=
BNS-191,191,Rioting,Section 191: Rioting,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=191&orderno=
BNSS-191,191,Complainant and witnesses not to be required to accompany police officer and not to be subject to restraint,Section 191: Complainant and witnesses not to be required to accompany police officer and not to be subject to restraint,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=191&orderno=
BNS-192,192,Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed,Section 192: Wantonly giving provocation with intent to cause riot-if rioting be committed; if not committed,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=192&orderno=
BNSS-192,192,Diary of proceedings in investigation,Section 192: Diary of proceedings in investigation,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=192&orderno=
BNS-193,193,"Liability of owner, occupier, etc","Section 193: Liability of owner, occupier, etc",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=193&orderno=
BNSS-193,193,Report of police officer on completion of investigation,Section 193: Report of police officer on completion of investigation,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=193&orderno=
BNS-194,194,Affray,Section 194: Affray,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=194&orderno=
BNSS-194,194,"Police to enquire and report on suicide, etc","Section 194: Police to enquire and report on suicide, etc",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=194&orderno=
BNS-195,195,"Assaulting or obstructing public servant when suppressing riot, etc","Section 195: Assaulting or obstructing public servant when suppressing riot, etc",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=195&orderno=
BNSS-195,195,Power to summon persons,Section 195: Power to summon persons,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=195&orderno=
BNS-196,196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc","Section 196: Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=196&orderno=
BNSS-196,196,Inquiry by Magistrate into cause of death,Section 196: Inquiry by Magistrate into cause of death,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=196&orderno=
BNS-197,197,"Imputations, assertions prejudicial to national integration","Section 197: Imputations, assertions prejudicial to national integration",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=197&orderno=
BNSS-197,197,Ordinary place of inquiry and trial,Section 197: Ordinary place of inquiry and trial,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=197&orderno=
BNS-198,198,"Public servant disobeying law, with intent to cause injury to any person","Section 198: Public servant disobeying law, with intent to cause injury to any person",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=198&orderno=
BNSS-198,198,Place of inquiry or trial,Section 198: Place of inquiry or trial,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=198&orderno=
BNS-199,199,Public servant disobeying direction under law,Section 199: Public servant disobeying direction under law,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=199&orderno=
BNSS-199,199,Offence triable where act is done or consequence ensues,Section 199: Offence triable where act is done or consequence ensues,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=199&orderno=
BNS-2,2,Definitions,Section 2: Definitions,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=2&orderno=
BNSS-2,2,THE SECOND SCHEDULE,Section 2: THE SECOND SCHEDULE,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=2&orderno=
EVIDENCE-2,2,Definitions,Section 2: Definitions,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=2&orderno=
BNS-20,20,Act of a child under seven years of age,Section 20: Act of a child under seven years of age,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=20&orderno=
BNSS-20,20,Directorate of Prosecution,Section 20: Directorate of Prosecution,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=20&orderno=
EVIDENCE-20,20,When oral admissions as to contents of documents are relevant,Section 20: When oral admissions as to contents of documents are relevant,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=20&orderno=
BNS-200,200,Punishment for non-treatment of victim,Section 200: Punishment for non-treatment of victim,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=200&orderno=
BNSS-200,200,Place of trial where act is an offence by reason of relation to other offence,Section 200: Place of trial where act is an offence by reason of relation to other offence,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=200&orderno=
BNS-201,201,Public servant framing an incorrect document with intent to cause injury,Section 201: Public servant framing an incorrect document with intent to cause injury,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=201&orderno=
BNSS-201,201,Place of trial in case of certain offences,Section 201: Place of trial in case of certain offences,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=201&orderno=
BNS-202,202,Public servant unlawfully engaging in trade,Section 202: Public servant unlawfully engaging in trade,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=202&orderno=
BNSS-202,202,"Offences committed by means of electronic communications, letters, etc","Section 202: Offences committed by means of electronic communications, letters, etc",Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=202&orderno=
BNS-203,203,Public servant unlawfully buying or bidding for property,Section 203: Public servant unlawfully buying or bidding for property,Of Offences Relating to Elections,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=203&orderno=
