section_code,section_number,title,description,category,punishment,source
BNS-271,271,Negligent act likely to spread infection of disease dangerous to life,Section 271: Negligent act likely to spread infection of disease dangerous to life,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=271&orderno=
BNSS-271,271,Acquittal or conviction,Section 271: Acquittal or conviction,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=271&orderno=
BNS-272,272,Malignant act likely to spread infection of disease dangerous to life,Section 272: Malignant act likely to spread infection of disease dangerous to life,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=272&orderno=
BNSS-272,272,Absence of complainant,Section 272: Absence of complainant,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=272&orderno=
BNS-273,273,Disobedience to quarantine rule,Section 273: Disobedience to quarantine rule,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=273&orderno=
BNSS-273,273,Compensation for accusation without reasonable cause,Section 273: Compensation for accusation without reasonable cause,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=273&orderno=
BNS-274,274,Adulteration of food or drink intended for sale,Section 274: Adulteration of food or drink intended for sale,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=274&orderno=
BNSS-274,274,Substance of accusation to be stated,Section 274: Substance of accusation to be stated,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=274&orderno=
BNS-275,275,Sale of noxious food or drink,Section 275: Sale of noxious food or drink,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=275&orderno=
BNSS-275,275,Conviction on plea of guilty,Section 275: Conviction on plea of guilty,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=275&orderno=
BNS-276,276,Adulteration of drugs,Section 276: Adulteration of drugs,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=276&orderno=
BNSS-276,276,Conviction on plea of guilty in absence of accused in petty cases,Section 276: Conviction on plea of guilty in absence of accused in petty cases,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=276&orderno=
